112.030617  36.977325  2.213  0.040 i*  0.845  0.015 20.279  0.043 -22.515   0.028 -22.483   0.021   0.073   2
112.320290  37.140987  2.213  0.026 i*  0.210  0.010 18.584  0.027 -21.033   0.021 -21.016   0.014   0.037   1
112.152771  37.058239  2.382  0.031 i*  0.559  0.011 18.949  0.032 -22.414   0.023 -22.441   0.016   0.073   4
113.274719  38.474579  2.199  0.023 i*  0.843  0.006 20.227  0.012 -22.554   0.020 -22.586   0.012   0.035   5
113.488380  39.100143  2.194  0.035 i*  0.376  0.014 19.409  0.039 -21.038   0.026 -21.109   0.019   0.037   5
113.023560  38.484795  2.212  0.024 i*  0.624  0.009 19.228  0.023 -22.459   0.021 -22.474   0.013   0.067   5
113.305321  38.635426  2.244  0.031 i*  0.277  0.010 18.783  0.028 -21.171   0.022 -21.208   0.014   0.036   3
113.176193  38.494633  2.309  0.026 i*  0.530  0.013 19.122  0.037 -22.096   0.025 -22.115   0.018   0.069  11
113.092491  38.142326  2.278  0.022 i*  0.574  0.006 18.096  0.014 -23.344   0.016 -23.374   0.010   0.100   1
113.692001  38.522720  2.243  0.034 i*  0.574  0.017 19.776  0.051 -21.660   0.031 -21.769   0.024   0.062   3
113.640213  39.170330  2.137  0.032 i*  0.631  0.010 20.285  0.028 -21.438   0.021 -21.453   0.014   0.023   4
113.736237  38.876152  2.155  0.034 i*  0.534  0.015 19.200  0.043 -22.037   0.026 -22.082   0.021   0.073   1
113.291977  38.141727  2.381  0.032 i*  0.774  0.013 19.293  0.038 -23.144   0.024 -23.182   0.019   0.111   4
113.137260  37.745522  2.412  0.032 i*  0.731  0.019 19.069  0.033 -23.156   0.023 -23.194   0.017   0.111  20
113.332283  38.400146  2.144  0.037 i*  0.422  0.012 19.677  0.035 -20.999   0.022 -20.943   0.017   0.034   3
113.153893  37.807438  2.330  0.048 i*  0.733  0.015 19.320  0.045 -22.911   0.028 -22.986   0.022   0.108   6
113.831192  39.138607  2.383  0.036 i*  0.789  0.014 19.409  0.042 -23.104   0.026 -23.082   0.021   0.110   6
113.818024  38.502022  2.240  0.034 i*  0.639  0.007 19.650  0.017 -22.112   0.019 -22.114   0.011   0.036   2
113.481422  37.931171  2.148  0.026 i*  1.041  0.008 20.877  0.022 -22.894   0.019 -22.776   0.012   0.041   7
113.389221  38.004311  2.462  0.032 i*  1.074  0.010 20.008  0.027 -23.928   0.021 -23.951   0.014   0.108   8
113.419228  38.009178  2.314  0.035 i*  0.841  0.021 19.528  0.036 -23.246   0.024 -23.277   0.018   0.110   8
113.407013  37.756718  2.343  0.027 i*  0.380  0.013 18.501  0.039 -21.964   0.023 -22.009   0.018   0.072   4
113.506340  37.794758  2.368  0.034 i*  0.690  0.014 18.867  0.042 -23.150   0.025 -23.080   0.020   0.110   2
113.514618  37.961391  2.433  0.014 i*  0.253  0.004 18.032  0.008 -21.801   0.013 -21.814   0.006   0.036   6
113.945831  39.212738  2.194  0.028 i*  0.485  0.014 19.206  0.040 -21.786   0.025 -21.806   0.019   0.063   7
114.100082  38.730911  2.409  0.029 i*  0.910  0.011 19.563  0.034 -23.554   0.021 -23.543   0.016   0.110   7
113.613197  38.005497  2.390  0.014 i*  0.709  0.004 19.328  0.009 -22.783   0.014 -22.809   0.009   0.041   7
113.567711  38.070736  2.349  0.035 i*  0.886  0.013 19.866  0.037 -23.133   0.025 -23.089   0.019   0.096   6
113.921249  38.073566  2.160  0.031 i*  0.615  0.010 20.066  0.030 -21.574   0.020 -21.546   0.014   0.036   4
113.652603  38.094776  2.190  0.022 i*  0.915  0.006 20.215  0.016 -22.926   0.015 -22.993   0.009   0.041   5
113.973297  38.202122  2.350  0.034 i*  0.727  0.013 19.282  0.040 -22.919   0.024 -22.922   0.019   0.103   4
113.946571  38.175358  2.019  0.034 i*  0.528  0.009 19.918  0.025 -21.287   0.018 -21.224   0.013   0.021 100
114.078827  38.085094  2.238  0.035 i*  0.354  0.012 19.164  0.035 -21.174   0.024 -21.182   0.017   0.039   7
113.929703  37.871452  2.027  0.043 i*  0.682  0.011 20.610  0.031 -21.369   0.023 -21.389   0.016   0.035 100
114.349541  38.127869  2.060  0.032 i*  0.561  0.008 19.804  0.025 -21.567   0.017 -21.530   0.012   0.025  11
114.302353  38.237030  2.093  0.035 i*  0.446  0.013 19.950  0.039 -20.846   0.026 -20.858   0.019   0.023   9
114.299896  38.734615  2.491  0.027 i*  0.549  0.013 18.421  0.039 -22.890   0.023 -22.964   0.018   0.103   4
114.439308  38.284550  2.337  0.016 i*  0.459  0.006 19.054  0.016 -21.809   0.013 -21.824   0.008   0.022   8
